SURVEY_START_TIME,SURVEY_END_TIME,DEVICE_ID,LOCATION,_LOCATION_latitude,_LOCATION_longitude,_LOCATION_altitude,_LOCATION_precision,VILLAGE_NAME,ALT_VILLAGE_NAME,NUMBER_OF_HOUSEHOLDS,DISTRICT,CHIEFDOM,WARD,CONSTITUENCY,NEAREST_HC_LOCATION,NEAREST_HC_TYPE,meta/instanceID,_uuid,_submission_time
2015-01-13T14:41:42.473Z,2015-01-13T14:49:33.306Z,9.90003E+14,8.69684458 -11.9211444 135.89999389648438 165.0,8.69684458,-11.9211444,135.8999939,165,Masesebe,n/a,80,Tonkolili,Kholifa Rowala,204,59,Government health center magburaka,secondary,uuid:664490c1-59e3-4d13-8161-a71505ddc3cb,664490c1-59e3-4d13-8161-a71505ddc3cb,2015-01-13T16:44:53
2015-01-13T13:43:54.621Z,2015-01-13T16:46:37.635Z,3.53428E+14,8.68562541 -11.93186038 182.0 8.0,8.68562541,-11.93186038,182,8,Mafanta,n/a,120,Tonkolili,Kholifa Rowala,204,59,Malon,primary,uuid:ad0386d6-654e-484e-a33c-7ca3ef771c40,ad0386d6-654e-484e-a33c-7ca3ef771c40,2015-01-13T16:49:29
2015-01-13T14:36:59.189Z,2015-01-13T16:47:04.603Z,3.53428E+14,8.70081528 -11.93895738 171.3000030517578 8.0,8.70081528,-11.93895738,171.3000031,8,Matal,n/a,130,Tonkolili,Kholifa Rowala,204,59,Magburaka,secondary,uuid:48e6d440-b8af-4ba1-8bea-e7df99df8761,48e6d440-b8af-4ba1-8bea-e7df99df8761,2015-01-13T16:49:34
2015-01-13T14:13:21.012Z,2015-01-13T16:48:58.049Z,3.53428E+14,8.68799865 -11.945854 175.1999969482422 6.0,8.68799865,-11.945854,175.1999969,6,Mafanta prison,n/a,30,Tonkolili,Kholifa Rowala,204,59,Magburaka,secondary,uuid:ae6752a6-baaa-408f-99f3-dfb66a5815d6,ae6752a6-baaa-408f-99f3-dfb66a5815d6,2015-01-13T16:50:18
2015-01-13T12:22:40.033Z,2015-01-13T16:07:05.584Z,3.52624E+14,8.66315333 -11.94410339 140.0 8.0,8.66315333,-11.94410339,140,8,Makondu,n/a,114,Tonkolili,Kholifa Rowala,204,59,Malon,primary,uuid:63c40202-4a44-47ad-bd42-ce8f629f8976,63c40202-4a44-47ad-bd42-ce8f629f8976,2015-01-13T16:52:14
2015-01-13T12:33:41.402Z,2015-01-13T15:09:28.314Z,3.52624E+14,8.65411597 -11.95007062 134.89999389648438 8.0,8.65411597,-11.95007062,134.8999939,8,Makoli,n/a,100,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:de603bba-896d-442a-8411-99257724a76a,de603bba-896d-442a-8411-99257724a76a,2015-01-13T16:52:17
2015-01-13T12:54:14.143Z,2015-01-13T15:38:42.381Z,3.52624E+14,8.63787199 -11.93937259 115.19999694824219 8.0,8.63787199,-11.93937259,115.1999969,8,Mabireka,n/a,105,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:8e137a3b-7597-4020-804e-90d8d4524033,8e137a3b-7597-4020-804e-90d8d4524033,2015-01-13T16:52:18
2015-01-13T13:23:54.996Z,2015-01-13T15:10:18.121Z,3.52624E+14,8.64135491 -11.9519083 120.69999694824219 8.0,8.64135491,-11.9519083,120.6999969,8,Masuba,n/a,160,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:ada53a6f-2d79-48dd-892a-99467ced2667,ada53a6f-2d79-48dd-892a-99467ced2667,2015-01-13T16:52:19
2015-01-13T13:03:58.738Z,2015-01-13T13:10:25.433Z,9.90003E+14,8.70832537 -11.9845336 114.0 8.0,8.70832537,-11.9845336,114,8,Mamuna-Bana,Mamuna-Bana,50,Tonkolili,Kholifa Rowala,202,59,Magbass Village,primary,uuid:b01dba16-27ef-472f-846b-b7c78c63b754,b01dba16-27ef-472f-846b-b7c78c63b754,2015-01-13T16:58:23
2015-01-13T13:19:35.173Z,2015-01-13T16:35:34.571Z,9.90003E+14,8.69406565 -11.98369083 115.0 8.0,8.69406565,-11.98369083,115,8,Mamanki,Mamanki-Moi,35,Tonkolili,Kholifa Rowala,204,59,Magbass Village,primary,uuid:1acc37c4-b7eb-4258-82ad-87e96eac05fc,1acc37c4-b7eb-4258-82ad-87e96eac05fc,2015-01-13T16:58:28
2015-01-13T20:29:36.045+08,2015-01-14T00:25:41.232+08,3.55072E+14,8.670846861318358 -11.973273768229024 132.0 5.0,8.670846861,-11.97327377,132,5,Mabum,Mabum Station,56,Tonkolili,Kholifa Rowala,204,59,Mobum mana,primary,uuid:81b14a37-8e5e-459c-a89e-3f19560cd455,81b14a37-8e5e-459c-a89e-3f19560cd455,2015-01-13T17:02:46
2015-01-13T20:50:53.750+08,2015-01-14T00:27:19.980+08,3.55072E+14,8.654208713915997 -11.978885248418166 117.0 5.0,8.654208714,-11.97888525,117,5,Mabum,n/a,309,Tonkolili,Kholifa Rowala,204,59,Magburaka,secondary,uuid:5a3ce470-9b80-4c50-b1c5-7aff3bc54910,5a3ce470-9b80-4c50-b1c5-7aff3bc54910,2015-01-13T17:02:51
2015-01-13T21:20:04.602+08,2015-01-14T00:29:24.519+08,3.55072E+14,8.64644602592293 -11.96785253218003 119.0 5.0,8.646446026,-11.96785253,119,5,Mamuna,Mamuna Lol,35,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:2f252357-0607-4dee-861e-25289c31c471,2f252357-0607-4dee-861e-25289c31c471,2015-01-13T17:02:54
2015-01-13T22:20:17.739+08,2015-01-14T00:29:49.477+08,3.55072E+14,8.681317456065447 -11.983741571538708 125.0 5.0,8.681317456,-11.98374157,125,5,Makuri,Makuri Kabia,39,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:bea0f79d-42d9-4384-b684-cdf73811b5ff,bea0f79d-42d9-4384-b684-cdf73811b5ff,2015-01-13T17:02:55
2015-01-13T12:14:42.082Z,2015-01-13T14:23:46.603Z,3.53313E+14,8.6537687 -11.96123369 107.80000305175781 8.0,8.6537687,-11.96123369,107.8000031,8,Masoria,n/a,42,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:625f2946-11cb-48b3-9f22-3edf23de28d9,625f2946-11cb-48b3-9f22-3edf23de28d9,2015-01-13T17:04:23
2015-01-13T12:40:38.871Z,2015-01-13T14:24:37.297Z,3.53313E+14,8.65061949 -11.96297066 135.5 7.0,8.65061949,-11.96297066,135.5,7,Maikonko,n/a,69,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:ebeb74d2-c04b-4315-9bfc-2e92735b0cd1,ebeb74d2-c04b-4315-9bfc-2e92735b0cd1,2015-01-13T17:04:33
2015-01-13T13:14:20.661Z,2015-01-13T14:25:44.348Z,3.53313E+14,8.62544275 -11.96438081 103.5 8.0,8.62544275,-11.96438081,103.5,8,Mayata lower,n/a,138,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:3e909034-d966-4d68-8435-6a30de704be1,3e909034-d966-4d68-8435-6a30de704be1,2015-01-13T17:04:44
2015-01-13T13:49:02.317Z,2015-01-13T14:27:07.475Z,3.53313E+14,8.63024677 -11.98142236 111.4000015258789 8.0,8.63024677,-11.98142236,111.4000015,8,Makomo,n/a,31,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:15a031f2-2fb2-4207-9ad6-9a11c176f3d6,15a031f2-2fb2-4207-9ad6-9a11c176f3d6,2015-01-13T17:04:58
2015-01-13T12:23:56.457Z,2015-01-13T12:33:31.103Z,3.58697E+14,8.69925714 -11.95600572 121.5 12.0,8.69925714,-11.95600572,121.5,12,Mamonu,Mamonu,42,Tonkolili,Kholifa Rowala,202,59,Magburaka,primary,uuid:12995040-ce32-4eec-981f-0ae936bf4988,12995040-ce32-4eec-981f-0ae936bf4988,2015-01-13T17:07:18
2015-01-13T12:41:57.795Z,2015-01-13T12:55:59.587Z,3.58697E+14,8.68829286 -11.95604308 134.39999389648438 15.0,8.68829286,-11.95604308,134.3999939,15,Magbakre,Magbakre,34,Tonkolili,Kholifa Rowala,204,59,Malong,primary,uuid:92dd613c-f7b9-4fdc-9d37-f2f0614ac167,92dd613c-f7b9-4fdc-9d37-f2f0614ac167,2015-01-13T17:07:20
2015-01-13T13:14:37.563Z,2015-01-13T13:20:41.221Z,3.58697E+14,8.67093195 -11.9650572 114.0999984741211 12.0,8.67093195,-11.9650572,114.0999985,12,Makump,Makump kaipath,600,Tonkolili,Kholifa Rowala,204,59,Mabum,primary,uuid:e51095da-4767-406e-8bf1-f3d711e8f69c,e51095da-4767-406e-8bf1-f3d711e8f69c,2015-01-13T17:07:21
2015-01-13T13:37:47.877Z,2015-01-13T16:14:49.465Z,3.53323E+14,8.7100235 -11.95943884 121.5999984741211 4.0,8.7100235,-11.95943884,121.5999985,4,Patifu,Patifu Line,78,Tonkolili,Kholifa Rowala,202,59,Magburaka,primary,uuid:98bc22b1-1926-4b8c-bd00-a0913362d72d,98bc22b1-1926-4b8c-bd00-a0913362d72d,2015-01-13T17:13:44
2015-01-13T13:49:36.274Z,2015-01-13T16:15:09.090Z,3.53323E+14,8.69969489 -11.95683829 129.5 8.0,8.69969489,-11.95683829,129.5,8,Mamonu,n/a,45,Tonkolili,Kholifa Rowala,202,59,Magburaka,primary,uuid:bbc49c28-32fa-4b45-988b-29c189211dde,bbc49c28-32fa-4b45-988b-29c189211dde,2015-01-13T17:13:46
2015-01-13T14:39:54.671Z,2015-01-13T14:53:53.669Z,3.53323E+14,8.66796659 -11.91803369 127.19999694824219 7.0,8.66796659,-11.91803369,127.1999969,7,Maqui,n/a,258,Tonkolili,Kholifa Rowala,204,59,Malon,primary,uuid:adf34978-7529-4bad-be06-f5cf7b6962ff,adf34978-7529-4bad-be06-f5cf7b6962ff,2015-01-13T17:13:47
